Subject,Start Date,End Date,All Day Event,Location
Week #1 Nominations Close (CD),5/28/2025,5/28/2025,TRUE,
Week #1 Nominations Close (SA),5/29/2025,5/29/2025,TRUE,
Week #2 Nominations Close (MTH),6/1/2025,6/1/2025,TRUE,
"RTTBC25 DRAFT #1 (7 Horses, 2 Trainers, 2 Jockeys, 2 Sires)",6/2/2025,6/6/2025,TRUE,
Ogden Phipps S.-G1,6/6/2025,6/6/2025,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Bed o' Roses Invitational-G2,6/6/2025,6/6/2025,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Acorn S.-G1,6/6/2025,6/6/2025,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
RTTBC25 WEEK #1,6/6/2025,6/8/2025,TRUE,
Summertime Oaks-G3,6/7/2025,6/7/2025,TRUE,"Santa Anita Park, 285 W Huntington Dr, Arcadia, CA 91007"
Belmont S.-G1,6/7/2025,6/7/2025,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
True North H.-G3,6/7/2025,6/7/2025,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Woody Stephens S.-G1,6/7/2025,6/7/2025,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Metropolitan H.-G1,6/7/2025,6/7/2025,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Matt Winn S.-G3,6/8/2025,6/8/2025,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Weeks #3-4 Nominations Close (CD),6/11/2025,6/11/2025,TRUE,
Week #3 Nominations Close (TDN),6/11/2025,6/11/2025,TRUE,
Delaware Oaks-G3,6/14/2025,6/14/2025,TRUE,"Delaware Park, 777 Delaware Park Blvd, Wilmington, DE 19804"
Salvator Mile-G3,6/14/2025,6/14/2025,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
RTTBC25 WEEK #2,6/14/2025,6/14/2025,TRUE,
Week #14 Nominations Close (DMR),6/20/2025,6/20/2025,TRUE,
Week #5 Nominations Close (IND),6/20/2025,6/20/2025,TRUE,
Chicago H.-G2,6/21/2025,6/21/2025,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Ohio Derby-G3,6/21/2025,6/21/2025,TRUE,"Thistledown, 21501 Emery Rd, North Randall, OH 44128"
RTTBC25 WEEK #3,6/21/2025,6/21/2025,TRUE,
Week #5 Nominations Close (DEL),6/21/2025,6/21/2025,TRUE,
Week #5 Nominations Close (PRM),6/21/2025,6/21/2025,TRUE,
Week #5 Nominations Close (SAR),6/21/2025,6/21/2025,TRUE,
RTTBC25 DRAFT #2 (4 Horses),6/24/2025,6/28/2025,TRUE,
Week #5 Nominations Close (LRC),6/26/2025,6/26/2025,TRUE,
Week #7 Nominations Close (Haskell),6/27/2025,6/27/2025,TRUE,
Fleur de Lis S.-G2,6/28/2025,6/28/2025,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Kelly's Landing S.-G3,6/28/2025,6/28/2025,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Stephen Foster S.-G1,6/28/2025,6/28/2025,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
RTTBC25 WEEK #4,6/28/2025,6/28/2025,TRUE,
Victory Ride S.-G3,7/3/2025,7/3/2025,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
RTTBC25 WEEK #5,7/3/2025,7/5/2025,TRUE,
Suburban S.-G2,7/4/2025,7/4/2025,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Week #7 Nominations Close (MTH),7/4/2025,7/4/2025,TRUE,
Indiana Oaks-G3,7/5/2025,7/5/2025,TRUE,"Horseshoe Indianapolis, 4200 N Michigan Rd, Shelbyville, IN 46176"
Indiana Derby-G3,7/5/2025,7/5/2025,TRUE,"Horseshoe Indianapolis, 4200 N Michigan Rd, Shelbyville, IN 46176"
Great Lady M S.-G2 (DATE TBD),7/5/2025,7/5/2025,TRUE,"Los Alamitos Race Course, 4961 Katella Ave, Cypress, CA 90720"
Prairie Meadows Cornhusker H.-G3,7/5/2025,7/5/2025,TRUE,"Prairie Meadows, 1 Prairie Meadows Dr, Altoona, IA 50009"
Sanford S.-G3,7/5/2025,7/5/2025,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Week #7 Nominations Close (SAR),7/5/2025,7/5/2025,TRUE,
Week #7 Nominations Close (DMR),7/10/2025,7/10/2025,TRUE,
RTTBC25 WEEK #6 (No Races),7/12/2025,7/12/2025,TRUE,
Week #8 Nominations Close (MTH),7/12/2025,7/12/2025,TRUE,
Week #7 Nominations Close (Hon. Miss),7/12/2025,7/12/2025,TRUE,
Week #8 Nominations Close (SAR),7/12/2025,7/12/2025,TRUE,
RTTBC25 DRAFT #3 (4 Horses),7/15/2025,7/19/2025,TRUE,
Week #8 Nominations Close (DMR),7/17/2025,7/17/2025,TRUE,
Shuvee S.-G2,7/18/2025,7/18/2025,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
RTTBC25 WEEK #7,7/18/2025,7/24/2025,TRUE,
Molly Pitcher S.-G3,7/19/2025,7/19/2025,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
Monmouth Cup S.-G3,7/19/2025,7/19/2025,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
Haskell S.-G1,7/19/2025,7/19/2025,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
CC American Oaks-G1,7/19/2025,7/19/2025,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Alfred G. Vanderbilt H.-G2,7/19/2025,7/19/2025,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Week #9 Nominations Close (SAR),7/19/2025,7/19/2025,TRUE,
Honorable Miss H.-G2,7/20/2025,7/20/2025,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Week #9 Nominations Close (MNR),7/22/2025,7/22/2025,TRUE,
Cougar II H.-G3 (DATE TBD),7/24/2025,7/24/2025,TRUE,"Del Mar Racing, 2260 Jimmy Durante Blvd, Del Mar, CA 92014"
Amsterdam S.-G2,7/25/2025,7/25/2025,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
RTTBC25 WEEK #8,7/25/2025,7/26/2025,TRUE,
Week #9 Nominations Close (DMR),7/25/2025,7/25/2025,TRUE,
San Diego H.-G2,7/26/2025,7/26/2025,TRUE,"Del Mar Racing, 2260 Jimmy Durante Blvd, Del Mar, CA 92014"
Bing Crosby S.-G1,7/26/2025,7/26/2025,TRUE,"Del Mar Racing, 2260 Jimmy Durante Blvd, Del Mar, CA 92014"
Monmouth Oaks-G3,7/26/2025,7/26/2025,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
Jim Dandy S.-G2,7/26/2025,7/26/2025,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
