Subject,Start Date,End Date,All Day Event,Location
Week #1 Nominations Close (CD),5/21/2026,5/21/2026,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Week #1 Nominations Close (SA),5/23/2026,5/23/2026,TRUE,"Santa Anita Park, 285 W Huntington Dr, Arcadia, CA 91007"
Week #1 Nominations Close (SAR),5/23/2026,5/23/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Week #2 Nominations Close (MTH),5/30/2026,5/30/2026,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
RTTBC26 Draft #1 Opens,6/1/2026,6/1/2026,TRUE,
Week #3 Nominations Close (CD),6/3/2026,6/3/2026,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Week #2 Nominations Close (DEL),6/3/2026,6/3/2026,TRUE,"Delaware Park, 777 Delaware Park Blvd, Wilmington, DE 19804"
Ogden Phipps S.-G1,6/5/2026,6/5/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Bed o' Roses Invitational-G2,6/5/2026,6/5/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Acorn S.-G1,6/5/2026,6/5/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
RTTBC26 Draft #1 Closes,6/5/2026,6/5/2026,TRUE,
RTTBC26 WEEK #1,6/5/2026,6/7/2026,TRUE,
Belmont S.-G1,6/6/2026,6/6/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
True North H.-G3,6/6/2026,6/6/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Woody Stephens S.-G1,6/6/2026,6/6/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Metropolitan H.-G1,6/6/2026,6/6/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Matt Winn S.-G3,6/7/2026,6/7/2026,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Weeks #4 Nominations Close (CD),6/10/2026,6/10/2026,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Week #3 Nominations Close (TDN),6/10/2026,6/10/2026,TRUE,"Thistledown, 21501 Emery Rd, North Randall, OH 44128"
Delaware Oaks-G3,6/13/2026,6/13/2026,TRUE,"Delaware Park, 777 Delaware Park Blvd, Wilmington, DE 19804"
Salvator Mile-G3,6/13/2026,6/13/2026,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
Summertime Oaks-G3,6/13/2026,6/13/2026,TRUE,"Santa Anita Park, 285 W Huntington Dr, Arcadia, CA 91007"
RTTBC26 WEEK #2,6/13/2026,6/13/2026,TRUE,
Week #14 Nominations Close (DMR),6/19/2026,6/19/2026,TRUE,"Del Mar Racing, 2260 Jimmy Durante Blvd, Del Mar, CA 92014"
Week #5 Nominations Close (IND),6/19/2026,6/19/2026,TRUE,"Horseshoe Indianapolis, 4200 N Michigan Rd, Shelbyville, IN 46176"
Chicago H.-G2,6/20/2026,6/20/2026,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Week #5 Nominations Close (PRM),6/20/2026,6/20/2026,TRUE,"Prairie Meadows, 1 Prairie Meadows Dr, Altoona, IA 50009"
Week #5 Nominations Close (SAR),6/20/2026,6/20/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Ohio Derby-G3,6/20/2026,6/20/2026,TRUE,"Thistledown, 21501 Emery Rd, North Randall, OH 44128"
RTTBC26 WEEK #3,6/20/2026,6/20/2026,TRUE,
RTTBC26 Draft #2 Opens,6/23/2026,6/23/2026,TRUE,
Week #5 Nominations Close (LRC),6/25/2026,6/25/2026,TRUE,"Los Alamitos Race Course, 4961 Katella Ave, Cypress, CA 90720"
Fleur de Lis S.-G2,6/27/2026,6/27/2026,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Bango S.-G3,6/27/2026,6/27/2026,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Stephen Foster S.-G1,6/27/2026,6/27/2026,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
RTTBC26 Draft #2 Closes,6/27/2026,6/27/2026,TRUE,
RTTBC26 WEEK #4,6/27/2026,6/28/2026,TRUE,
Maxfield S.-G3,6/28/2026,6/28/2026,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Hanshin S.-G3,6/28/2026,6/28/2026,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Great Lady M S.-G2,7/4/2026,7/4/2026,TRUE,"Los Alamitos Race Course, 4961 Katella Ave, Cypress, CA 90720"
Week #7 Nominations Close (Haskell),7/4/2026,7/4/2026,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
Week #7 Nominations Close (MTH),7/4/2026,7/4/2026,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
Suburban S.-G2,7/4/2026,7/4/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Sanford S.-G3,7/4/2026,7/4/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Week #7 Nominations Close (SAR),7/4/2026,7/4/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
RTTBC26 WEEK #5,7/4/2026,7/4/2026,TRUE,
Week #7 Nominations Close (DMR),7/9/2026,7/9/2026,TRUE,"Del Mar Racing, 2260 Jimmy Durante Blvd, Del Mar, CA 92014"
Victory Ride S.-G3,7/10/2026,7/10/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
RTTBC26 WEEK #6,7/10/2026,7/11/2026,TRUE,
Indiana Oaks-G3,7/11/2026,7/11/2026,TRUE,"Horseshoe Indianapolis, 4200 N Michigan Rd, Shelbyville, IN 46176"
Indiana Derby-G3,7/11/2026,7/11/2026,TRUE,"Horseshoe Indianapolis, 4200 N Michigan Rd, Shelbyville, IN 46176"
Week #8 Nominations Close (MTH),7/11/2026,7/11/2026,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
Prairie Meadows Cornhusker H.-G3,7/11/2026,7/11/2026,TRUE,"Prairie Meadows, 1 Prairie Meadows Dr, Altoona, IA 50009"
Week #7 Nominations Close (Hon. Miss),7/11/2026,7/11/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Week #8 Nominations Close (SAR),7/11/2026,7/11/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Week #8 Nominations Close (DMR),7/16/2026,7/16/2026,TRUE,"Del Mar Racing, 2260 Jimmy Durante Blvd, Del Mar, CA 92014"
San Diego H.-G2,7/18/2026,7/18/2026,TRUE,"Del Mar Racing, 2260 Jimmy Durante Blvd, Del Mar, CA 92014"
Molly Pitcher S.-G2,7/18/2026,7/18/2026,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
Monmouth Cup S.-G3,7/18/2026,7/18/2026,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
Haskell S.-G1,7/18/2026,7/18/2026,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
Week #9 Nominations Close (SAR),7/18/2026,7/18/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
RTTBC26 WEEK #7,7/18/2026,7/18/2026,TRUE,
Week #9 Nominations Close (MNR),7/21/2026,7/21/2026,TRUE,"Mountaineer Race Track, 1420 Mountaineer Cir, New Cumberland, WV 26047"
RTTBC26 Draft #3 Opens,7/21/2026,7/21/2026,TRUE,
Week #9 Nominations Close (DMR),7/23/2026,7/23/2026,TRUE,"Del Mar Racing, 2260 Jimmy Durante Blvd, Del Mar, CA 92014"
Shuvee S.-G2,7/24/2026,7/24/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
RTTBC26 Draft #3 Closes,7/24/2026,7/24/2026,TRUE,
RTTBC26 WEEK #8,7/24/2026,7/25/2026,TRUE,
Bing Crosby S.-G1,7/25/2026,7/25/2026,TRUE,"Del Mar Racing, 2260 Jimmy Durante Blvd, Del Mar, CA 92014"
Monmouth Oaks-G3,7/25/2026,7/25/2026,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
CC American Oaks-G1,7/25/2026,7/25/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Alfred G. Vanderbilt H.-G2,7/25/2026,7/25/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Honorable Miss H.-G2,7/26/2026,7/26/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Week #10 Nominations Close (DMR),7/30/2026,7/30/2026,TRUE,"Del Mar Racing, 2260 Jimmy Durante Blvd, Del Mar, CA 92014"
Amsterdam S.-G2,7/31/2026,7/31/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
RTTBC26 WEEK #9,7/31/2026,8/2/2026,TRUE,
Clement L. Hirsch S.-G1,8/1/2026,8/1/2026,TRUE,"Del Mar Racing, 2260 Jimmy Durante Blvd, Del Mar, CA 92014"
Week #11 Nominations Close (MTH),8/1/2026,8/1/2026,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
Jim Dandy S.-G2,8/1/2026,8/1/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Saratoga Special S.-G2,8/1/2026,8/1/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Week #11 Nominations Close (SAR),8/1/2026,8/1/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Adirondack S.-G3,8/2/2026,8/2/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
RTTBC26 Draft #4 Opens,8/4/2026,8/4/2026,TRUE,
Week #12 Nominations Close (CT),8/7/2026,8/7/2026,TRUE,"Charles Town Racing, Hollywood Dr, Charles Town, WV 25438"
Best Pal S.-G3,8/8/2026,8/8/2026,TRUE,"Del Mar Racing, 2260 Jimmy Durante Blvd, Del Mar, CA 92014"
Test S.-G1,8/8/2026,8/8/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Whitney H.-G1,8/8/2026,8/8/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
Week #12 Nominations Close (SAR),8/8/2026,8/8/2026,TRUE,"Saratoga Racetrack, 267 Union Ave, Saratoga Springs, NY 12866"
RTTBC26 Draft #4 Closes,8/8/2026,8/8/2026,TRUE,
RTTBC26 WEEK #10,8/8/2026,8/9/2026,TRUE,
Sorrento S.-G3,8/9/2026,8/9/2026,TRUE,"Del Mar Racing, 2260 Jimmy Durante Blvd, Del Mar, CA 92014"
West Virginia Derby-G3,8/9/2026,8/9/2026,TRUE,"Mountaineer Race Track, 1420 Mountaineer Cir, New Cumberland, WV 26047"
Week #12 Nominations Close (DMR),8/13/2026,8/13/2026,TRUE,"Del Mar Racing, 2260 Jimmy Durante Blvd, Del Mar, CA 92014"
Philip H. Iselin S.-G3,8/15/2026,8/15/2026,TRUE,"Monmouth Park, 175 Oceanport Ave, Oceanport, NJ 07757"
