Subject,Start Date,End Date,All Day Event,Location
RTTR150 WEEK # 1,1/20/2024,1/20/2024,TRUE,
Withers S.-G3,2/3/2024,2/3/2024,TRUE,"Aqueduct Race Track, 11000 Rockaway Blvd, Queens, NY 11420"
Gotham S.-G3,3/2/2024,3/2/2024,TRUE,"Aqueduct Race Track, 11000 Rockaway Blvd, Queens, NY 11420"
Wood Memorial-G2,4/6/2024,4/6/2024,TRUE,"Aqueduct Race Track, 11000 Rockaway Blvd, Queens, NY 11420"
Kentucky Derby-G1,5/4/2024,5/4/2024,TRUE,"Churchill Downs, 700 Central Ave, Louisville, KY 40208"
Lecomte S.-G3,1/20/2024,1/20/2024,TRUE,"Fair Grounds Race Course, 1751 Gentilly Blvd, New Orleans, LA 70119"
Risen Star S.-G2,2/17/2024,2/17/2024,TRUE,"Fair Grounds Race Course, 1751 Gentilly Blvd, New Orleans, LA 70119"
Louisiana Derby-G2,3/23/2024,3/23/2024,TRUE,"Fair Grounds Race Course, 1751 Gentilly Blvd, New Orleans, LA 70119"
Holy Bull S.-G3,2/3/2024,2/3/2024,TRUE,"Gulfstream Park, 901 S Federal Hwy, Hallandale Beach, FL 33009"
Fountain of Youth S.-G2,3/2/2024,3/2/2024,TRUE,"Gulfstream Park, 901 S Federal Hwy, Hallandale Beach, FL 33009"
Florida Derby-G1,3/30/2024,3/30/2024,TRUE,"Gulfstream Park, 901 S Federal Hwy, Hallandale Beach, FL 33009"
Blue Grass S.-G1,4/6/2024,4/6/2024,TRUE,"Keeneland, 4201 Versailles Rd, Lexington, KY 40510"
Lexington S.-G3,4/13/2024,4/13/2024,TRUE,"Keeneland, 4201 Versailles Rd, Lexington, KY 40510"
UAE Derby-G2,3/30/2024,3/30/2024,TRUE,"Meydan Race Course, Dubai, UAE"
Southwest S.-G3,1/27/2024,1/27/2024,TRUE,"Oaklawn Park, 2705 Central Ave, Hot Springs, AR 71901"
Rebel S.-G2,2/24/2024,2/24/2024,TRUE,"Oaklawn Park, 2705 Central Ave, Hot Springs, AR 71901"
Arkansas Derby-G1,3/30/2024,3/30/2024,TRUE,"Oaklawn Park, 2705 Central Ave, Hot Springs, AR 71901"
Robert B. Lewis S.-G3,2/3/2024,2/3/2024,TRUE,"Santa Anita Park, 285 W Huntington Dr, Arcadia, CA 91007"
San Felipe S.-G2,3/2/2024,3/2/2024,TRUE,"Santa Anita Park, 285 W Huntington Dr, Arcadia, CA 91007"
Santa Anita Derby-G1,4/6/2024,4/6/2024,TRUE,"Santa Anita Park, 285 W Huntington Dr, Arcadia, CA 91007"
Sunland Park Derby-G3,2/18/2024,2/18/2024,TRUE,"Sunland Park, 1200 Futurity Dr, Sunland Park, NM 88063"
Sam F. Davis S.-G3,2/10/2024,2/10/2024,TRUE,"Tampa Bay Downs, 11225 Race Track Rd, Tampa, FL 33626"
Tampa Bay Derby-G3,3/9/2024,3/9/2024,TRUE,"Tampa Bay Downs, 11225 Race Track Rd, Tampa, FL 33626"
John Battaglia Memorial S.-LS,3/2/2024,3/2/2024,TRUE,"Turfway Park, 7500 Turfway Rd, Florence, KY 41042"
Jeff Ruby Steaks-G3,3/23/2024,3/23/2024,TRUE,"Turfway Park, 7500 Turfway Rd, Florence, KY 41042"
RTTR150 WEEK # 2,1/27/2024,1/27/2024,TRUE,
RTTR150 WEEK # 3,2/3/2024,2/3/2024,TRUE,
RTTR150 WEEK # 4,2/10/2024,2/10/2024,TRUE,
RTTR150 DRAFT # 2 (5 Horses),2/12/2024,2/17/2024,TRUE,
RTTR150 WEEK # 5,2/17/2024,2/18/2024,TRUE,
RTTR150 WEEK # 6,2/24/2024,2/24/2024,TRUE,
RTTR150 WEEK # 7,3/2/2024,3/2/2024,TRUE,
RTTR150 WEEK # 8,3/9/2024,3/9/2024,TRUE,
RTTR150 WEEK # 9 (NO RACES),3/15/2024,3/16/2024,TRUE,
RTTR150 WEEK # 10,3/23/2024,3/23/2024,TRUE,
RTTR150 Draft # 3 (0-5 Horses),3/25/2024,3/30/2024,TRUE,
RTTR150 WEEK # 11,3/30/2024,3/30/2024,TRUE,
RTTR150 WEEK # 12,4/6/2024,4/6/2024,TRUE,
RTTR150 WEEK # 13,4/13/2024,4/13/2024,TRUE,
RTTR150 Draft # 4 (Any Remaining Horses),4/29/2024,5/4/2024,TRUE,
RTTR150 CHAMPIONSHIP WEEK,5/4/2024,5/4/2024,TRUE,
